empty_wells	matrix	condition	baculosome	MgCl2_mM	buffer_ionic_strength_M	fc
FALSE	77% DMSO|23% DMA(+HATU/DIPEA)	CYP3A4 (+1.3% sim crude)	CYP3A4	0	0.05	9.45677705345502
FALSE	77% DMSO|23% DMA(+HATU/DIPEA)	CYP3A4 (+1.3% sim crude)	CYP3A4	0	0.04	8.94492597020416
FALSE	77% DMSO|23% DMA(+HATU/DIPEA)	CYP3A4 (+1.3% sim crude)	CYP3A4	0	0.03	7.62572970024724
FALSE	77% DMSO|23% DMA(+HATU/DIPEA)	CYP3A4 (+1.3% sim crude)	CYP3A4	0	0.02	7.672670871073
FALSE	77% DMSO|23% DMA(+HATU/DIPEA)	CYP3A4 (+1.3% sim crude)	CYP3A4	0	0.01	5.93816113373638
FALSE	77% DMSO|23% DMA(+HATU/DIPEA)	CYP3A4 (+1.3% sim crude)	CYP3A4	10	0.1	13.7318130057847
FALSE	77% DMSO|23% DMA(+HATU/DIPEA)	CYP3A4 (+1.3% sim crude)	CYP3A4	10	0.09	14.2267652556489
FALSE	77% DMSO|23% DMA(+HATU/DIPEA)	CYP3A4 (+1.3% sim crude)	CYP3A4	10	0.08	13.5943979825899
FALSE	77% DMSO|23% DMA(+HATU/DIPEA)	CYP3A4 (+1.3% sim crude)	CYP3A4	10	0.07	14.030835356251
FALSE	77% DMSO|23% DMA(+HATU/DIPEA)	CYP3A4 (+1.3% sim crude)	CYP3A4	10	0.06	11.5618599413589
FALSE	77% DMSO|23% DMA(+HATU/DIPEA)	CYP3A4 (+1.3% sim crude)	CYP3A4	10	0.05	10.6651248352104
FALSE	77% DMSO|23% DMA(+HATU/DIPEA)	CYP3A4 (+1.3% sim crude)	CYP3A4	10	0.04	10.0514300346675
FALSE	77% DMSO|23% DMA(+HATU/DIPEA)	CYP3A4 (+1.3% sim crude)	CYP3A4	10	0.03	10.1011672577559
FALSE	77% DMSO|23% DMA(+HATU/DIPEA)	CYP3A4 (+1.3% sim crude)	CYP3A4	10	0.02	11.2138049592094
