DMSO_percent	total_volume	time_min	percent_volume
8.93617	5	0	1
8.93617	5	0	1
8.93617	5	10	0.969037252378207
8.93617	5	10	0.9603198662099
8.93617	5	100	0.714416880179184
8.93617	5	100	0.716791183328535
8.93617	5	110	0.687233149009624
8.93617	5	110	0.689760772218335
8.93617	5	120	0.661352747416689
8.93617	5	120	0.663783782087089
8.93617	5	150	0.575146805420065
8.93617	5	150	0.587600599191104
8.93617	5	20	0.939334327116366
8.93617	5	20	0.930794761892521
8.93617	5	33	0.904702998366105
8.93617	5	33	0.894790781394659
8.93617	5	40	0.885153054716764
8.93617	5	40	0.876839907530929
8.93617	5	52	0.850894105845537
8.93617	5	52	0.845784692033055
8.93617	5	62	0.823524184736462
8.93617	5	62	0.822268732441428
8.93617	5	70	0.802484721570978
8.93617	5	70	0.798232802493992
8.93617	5	80	0.77362528094576
8.93617	5	80	0.769973777487407
8.93617	5	90	0.746255359836682
8.93617	5	90	0.745927531006891
10.2128	5	0	1
10.2128	5	0	1
10.2128	5	10	0.97305251856498
10.2128	5	10	0.96533017060272
10.2128	5	100	0.709338481612418
10.2128	5	100	0.714341550443304
10.2128	5	110	0.685587253123481
10.2128	5	110	0.686783541179587
10.2128	5	120	0.657311981112842
10.2128	5	120	0.660647522809371
10.2128	5	150	0.570224143320073
10.2128	5	150	0.58380649977059
10.2128	5	20	0.941195712099659
10.2128	5	20	0.932565152709186
10.2128	5	33	0.905945872993063
10.2128	5	33	0.898562489472398
10.2128	5	40	0.885964680772211
10.2128	5	40	0.878196913957943
10.2128	5	52	0.849395328971784
10.2128	5	52	0.844920712575036
10.2128	5	62	0.821308558774547
10.2128	5	62	0.821373764068682
10.2128	5	70	0.799819352046463
10.2128	5	70	0.79541566651971
10.2128	5	80	0.767397040140933
10.2128	5	80	0.764657375267684
10.2128	5	90	0.741195288077738
10.2128	5	90	0.740477110254703
11.4894	5	0	1
11.4894	5	0	1
11.4894	5	10	0.976413332757945
11.4894	5	10	0.965339146254186
11.4894	5	100	0.703946659444584
11.4894	5	100	0.707832895502275
11.4894	5	110	0.676496658774957
11.4894	5	110	0.682749995648052
11.4894	5	120	0.647826658075564
11.4894	5	120	0.654750723150779
